sentiment,text
4,i love us
4,Happy national girlfriend day to the cutest gf ever
4,"Happy National Girlfriend day! Here is me with mine, she is a wonderful woman. Smart, sweet and beautiful with the most caring heart that I have ever known. Everyday she does so much for me, I will forever appreciate my lovely Stacia."
4,s/o to you for making life better
4,This is a thing? Alrighty than! Here's me and my baby love
4,"Wow. Cnt believe I actually hv a gf on. But although shes a pain in thee ass, Im so appreciative of her & the unconditional love & support she gives/shows me everyday. Nothing is easy but shes worth learning & trying with. Thanks for existing my love"
4,I love my life partner more than anything
0,who Created  just To humiliate Me
4,Finally found the girl of my dreams
4,Way too damn lucky
0,"Well it sucks to be single, kinda want a girlfriend too "
4,Shoutout to my biggest supporter and Best frien
4,So blessed to have such a hardworking badass gf
4,i heard there's another excuse to post my gf today
0,You don't have a girlfriend and you're nobody's girlfriend. You will die alone.
0,Don’t be happy on my tl or ur getting reported
4,when he doesn’t post u on his stories w/ paragraphs about how much he loves & adores u
4,Ooooouuu I miss you so much my baby. I can’t wait to come back to NC to see you
4,loving you is easy
4,"My breath of fresh air. Life is sooo much more beautiful with you in it. I love you baby, everyday is your day"
4,Happy national Girlfriend’s day to the best
4,thanks for helping me build my desk and giving me kisses
4,My better half
4,4+ years with this special someone
4,It’s the best day of the year
4,I stumbled through life until I lucked out and met the most beautiful girl in the world. It’s been almost two years now and every day has been better than the last.
4,"Although I’m single, I get to celebrate this day by being happy for my wonderful friends in happy & Healthy relationships. "
0," I have no girlfriend, or friends that are girls, or friends"
4,My girlfriend is so fucking hot & supportive. I love you so much boo.
0,unfortunately i don't have the middle part of the hashtag so...
4,"thank you Hannah for being my best friend, I’m so blessed to call you my girl and I don’t know what I’d do without you. You are the best thing that’s ever happened to me and I love you baby"
0,Damn I’m lonely
4,Glad to spend the weekend with youu
0,If only I was someone's girlfriend...
4,"Chasing you for 1 and a half years has never stopped paying off. I’m glad I get to cherish you and support you as your life partner and best friend every day. I knew that when I first saw you, I had to chase after my future and I’m glad to say I got it"
4,You have helped me become way more then I intended and I’m thankful to have you in my life. Thank you for always supporting my dreams and allowing me to become the man I am today.
4,I love my girlfriend she’s perfect
4,Grateful
4,Just thought I’d show off and let everyone know how lucky I am
0,So no body posted me
4,some days are easier than others but I still love her at the end of the day.
4,love my cute girlfriend
4,So much has happened these last few months and there's nobody I would have rather spent them with. I love you lots.
0,I hate myself
4,we’re so close to two years i’m gonna kiss her forever and ever and ever
4,She’s my whole heart
0,Kill me
4,Had such a great day with my girl
4,s/o to you for making life better
0,My heart is broken on
4,"Gotta show my lady off during her one day a year! She does everything for my old, stupid ass, and i couldn’t have asked for a better last 2 years. I’ve learned to respect her and the crap she gives me about stuff haha."
4,I don’t know why she loves this stupid gremlin of a weeb but I’m so grateful
4,You’re my best friend!! I do be so blessed and lucky to have you in my life! Thanks for everything you do I love you so much!
4,It’s like I prayed for an angel and he sent you
4,"I’m so lucky to be yours, forever!"
4,"It’s still early in the relationship, but she’s already the best girlfriend I’ve ever had. This dork is so good for me, and she makes me happy."
4,"I present to you... my best friend, my greatest adventure, the peanut butter to my jelly, my anchor, my rock, my favorite part of today and what I most look forward to tomorrow."
0,Fuck yo
0,another day without a gf... im TIRED
0,What's a girlfriend?
4,"Love you lil mama, u still drive me crazy"
4,love you so much your smile lights me up inside and I wanna see it for the rest of my life
4,i love my gf so muchhh mwah
0,"Wish I had one, but all I got is my right hand"
4,she might just be my everything and beyond.
4,Every day with you is my favorite
4,"We have our ups and downs, but you’re still the best around. I would never wanna do life without you"
0," don't have a national girlfriend, nor a normal one."
4,I love you so much baby you make my life so much happier and I can’t thank you enough you’re the best thing that’s ever happened to me
0,my bf has pissed me off to the max today
0,Wow...I wish I had a girlfriend
0,I made sure to remind all the girls in my family that they aren’t girlfriends and that none of my brothers have one either
0,I did not get a girlfriend today now sad
4,She might not be half blonde anymore but she is still my girlfriend!! I love you
4," love my girlfriend. She’s the glue that holds this shit together. The Bonnie to my Clyde. She has really changed my life and I will continue to cherish her. I ain’t losing this one, and that’s on gang bro"
4,I Just wanna hold your hand and hug you
0,posts make me wanna die dude
0,All I’m seeing in this hashtag is lesbian couples. Y’all niggas ain’t shit lol
4,I forgot it was girlfriend day today and i just wanted to tell you how beautiful u are YOU ABSOLUTE BABY BEAN ILY!!!!
4,"Love laughing with you, love being with you"
4,I hope all my gfs find men who are worth their time and treats them like the queens that they are. <3 Never settle for a lame mf!!
4,Truly an excuse to post pictures of this incredible woman!!!!!
0,im jealous.
4,"thank you for sharing the sunshine with me, opening the umbrella on the rainy days, and being my biggest supporter! i truly adore you"
4,Well to my one and only. I'm aware na she likes privacy that's why I will just say na she was the only savior of my life today.
0,I'm alone
4,I love you so much my beautiful queen
4,sending hugs and kisses to all my pretty girl friends and followers today
0,im single
4,Love you baby you’re my world
4,The most supportive and caring person I know
4,"will always find any little reason to show you off, I love you"
4,Sorry I had to flex my hot gamer girlfriend real quick
4,He who finds A wife Finds a good thing
4,I feel complete when you're by my side
4,anyone wanna hold hands
4,"I appreciate you, thank you for being you & lettin me be me. Ima roll a blunt 4 u n suck yo toes today girl"
4,I love you so much and I'm so happy to be here in Canada with you!
4,"proud to say I finally have a girlfriend and yes she’s real,"
4,"ou keep me sane, you’re my pocket of peace, and mother to my pet children we have. I appreciate you endlessly until the sun goes boom."
0,I’m my own gf since no one want me
4,10+ years and she still doesn’t hate me or my childishness
4,"She's a doctor, she's smart, kind and one thing that I love her so very much she cry and believe for my dream. "